Date,PHLX Yen,PHLX Swiss Franc,Japan 10Y,Switzerland 10Y
2010-01-01,110.83,94.3,1.33,2.003
2010-02-01,112.44,93.14,1.3090000000000002,1.916
2010-03-01,106.96,94.88,1.413,1.892
2010-04-01,106.55,92.78,1.29,1.831
2010-05-01,109.81,86.28,1.27,1.57
2010-06-01,113.11,92.81,1.09,1.5230000000000001
2010-07-01,115.65,96.0,1.062,1.4809999999999999
2010-08-01,118.8,98.55,0.985,1.148
2010-09-01,119.8,101.77,0.94,1.3840000000000001
2010-10-01,124.27,101.61,0.935,1.535
2010-11-01,119.59,99.63,1.195,1.61
2010-12-01,123.24,107.08,1.1159999999999999,1.7630000000000001
2011-01-01,121.88,105.97,1.215,1.8430000000000002
2011-02-01,122.21,107.65,1.2590000000000001,1.8940000000000001
2011-03-01,120.24,108.86,1.255,1.952
2011-04-01,123.11,115.11,1.206,2.035
2011-05-01,122.65,117.1,1.155,1.796
2011-06-01,124.19,119.04,1.135,1.713
2011-07-01,130.17,127.23,1.079,1.413
2011-08-01,130.51,124.08,1.032,1.171
2011-09-01,129.79,110.16,1.032,0.9640000000000001
2011-10-01,127.92,114.03,1.05,1.018
2011-11-01,128.92,109.44,1.073,0.91
2011-12-01,130.06,106.47,0.988,0.69
2012-01-01,131.14,108.68,0.973,0.6990000000000001
2012-02-01,123.19,110.61,0.968,0.7609999999999999
2012-03-01,120.69,110.86,0.993,0.857
2012-04-01,125.34,110.21,0.898,0.713
2012-05-01,127.62,102.92,0.8290000000000001,0.544
2012-06-01,125.32,105.45,0.8390000000000001,0.6579999999999999
2012-07-01,128.03,102.42,0.7979999999999999,0.462
2012-08-01,127.61,104.75,0.7979999999999999,0.507
2012-09-01,128.35,106.42,0.773,0.528
2012-10-01,125.31,107.37,0.7759999999999999,0.486
2012-11-01,121.26,107.76,0.7120000000000001,0.42100000000000004
2012-12-01,115.25,109.3,0.802,0.452
2013-01-01,109.13,109.87,0.754,0.8029999999999999
2013-02-01,107.93,106.76,0.665,0.705
2013-03-01,106.21,105.31,0.556,0.728
2013-04-01,102.64,107.58,0.611,0.6
2013-05-01,99.58,104.71,0.867,0.736
2013-06-01,100.69,105.85,0.8440000000000001,1.041
2013-07-01,102.18,107.99,0.7979999999999999,1.035
2013-08-01,101.86,107.56,0.72,1.0859999999999999
2013-09-01,101.77,110.53,0.688,1.02
2013-10-01,101.68,110.27,0.594,0.973
2013-11-01,97.57,110.31,0.612,0.8809999999999999
2013-12-01,94.91,111.96,0.737,1.089
2014-01-01,98.02,110.36,0.626,0.985
2014-02-01,98.25,113.34,0.586,0.9990000000000001
2014-03-01,96.89,113.1,0.643,0.956
2014-04-01,97.84,113.61,0.62,0.8440000000000001
2014-05-01,98.26,111.74,0.579,0.723
2014-06-01,98.69,112.76,0.5670000000000001,0.645
2014-07-01,97.27,110.03,0.534,0.552
2014-08-01,96.08,106.75,0.49700000000000005,0.435
2014-09-01,91.21,104.7,0.5329999999999999,0.478
2014-10-01,89.04,103.68,0.457,0.461
2014-11-01,84.33,103.63,0.42,0.308
2014-12-01,83.55,100.57,0.33,0.368
2015-01-01,85.14,108.56,0.28600000000000003,-0.026000000000000002
2015-02-01,83.59,104.86,0.34,0.026000000000000002
2015-03-01,83.28,102.86,0.4,-0.042
2015-04-01,83.73,107.22,0.331,0.017
2015-05-01,80.56,106.37,0.396,-0.064
2015-06-01,81.65,106.85,0.45799999999999996,0.10400000000000001
2015-07-01,80.7,103.47,0.41200000000000003,-0.036000000000000004
2015-08-01,82.47,103.4,0.381,-0.135
2015-09-01,83.42,102.73,0.35,-0.122
2015-10-01,82.91,101.24,0.304,-0.272
2015-11-01,81.25,97.2,0.305,-0.389
2015-12-01,83.12,99.86,0.272,-0.075
2016-01-01,82.56,97.75,0.114,-0.278
2016-02-01,88.74,100.18,-0.057999999999999996,-0.444
2016-03-01,88.83,103.99,-0.042,-0.33399999999999996
2016-04-01,94.02,104.22,-0.076,-0.25
2016-05-01,90.33,100.62,-0.114,-0.311
2016-06-01,96.86,102.48,-0.225,-0.5660000000000001
2016-07-01,97.97,103.13,-0.16699999999999998,-0.5770000000000001
2016-08-01,96.7,101.66,-0.068,-0.48100000000000004
2016-09-01,98.68,102.95,-0.078,-0.5710000000000001
2016-10-01,95.4,101.12,-0.049,-0.396
2016-11-01,87.38,98.35,0.02,-0.175
2016-12-01,85.48,98.24,0.049,-0.20600000000000002
2017-01-01,88.6,101.03,0.08800000000000001,-0.067
2017-02-01,88.65,99.39,0.053,-0.24
2017-03-01,89.77,99.71,0.071,-0.107
2017-04-01,89.65,100.48,0.016,-0.12300000000000001
2017-05-01,90.29,103.33,0.045,-0.171
2017-06-01,89.0,104.38,0.084,-0.027000000000000003
2017-07-01,90.72,103.46,0.076,0.036000000000000004
2017-08-01,90.95,104.33,0.006,-0.141
2017-09-01,88.92,103.29,0.064,-0.011000000000000001
2017-10-01,87.98,100.25,0.065,-0.07200000000000001
2017-11-01,88.85,101.64,0.036000000000000004,-0.114
2017-12-01,88.73,102.61,0.05,-0.069
2018-01-01,91.54,107.3,0.084,0.095
2018-02-01,93.75,105.86,0.047,0.079
2018-03-01,93.94,104.55,0.046,0.024
2018-04-01,91.5,100.94,0.055999999999999994,0.09
2018-05-01,91.9,101.45,0.037000000000000005,-0.073
2018-06-01,90.1,100.97,0.031,-0.068
2018-07-01,89.42,100.99,0.055999999999999994,-0.005
2018-08-01,90.19,103.21,0.10300000000000001,-0.098
2018-09-01,87.96,101.84,0.126,0.040999999999999995
2018-10-01,88.54,99.16,0.126,-0.011000000000000001
2018-11-01,88.06,100.17,0.086,-0.095
2018-12-01,91.2,101.88,0.002,-0.168
2019-01-01,91.88,100.61,0.0,-0.233
2019-02-01,89.78,100.18,-0.023,-0.242
2019-03-01,90.17,100.52,-0.092,-0.373
2019-04-01,89.75,98.11,-0.044000000000000004,-0.303
2019-05-01,92.26,99.96,-0.098,-0.46799999999999997
2019-06-01,92.68,102.42,-0.159,-0.535
2019-07-01,91.95,100.59,-0.155,-0.747
2019-08-01,94.1,101.02,-0.275,-1.008
2019-09-01,92.49,100.22,-0.223,-0.753
2019-10-01,92.55,101.39,-0.139,-0.563
2019-11-01,91.35,99.99,-0.079,-0.612
2019-12-01,92.02,103.44,-0.022000000000000002,-0.47200000000000003
2020-01-01,92.3,103.8,-0.063,-0.748
2020-02-01,92.5,103.66,-0.153,-0.871
2020-03-01,92.96,103.91,0.017,-0.35
2020-04-01,93.3,103.58,-0.038,-0.535
2020-05-01,92.75,103.99,0.006999999999999999,-0.46399999999999997
2020-06-01,92.62,105.59,0.027000000000000003,-0.431
2020-07-01,94.49,109.47,0.016,-0.542
2020-08-01,94.41,110.67,0.047,-0.41100000000000003
2020-09-01,94.82,108.55,0.016,-0.488
2020-10-01,95.54,109.07,0.040999999999999995,-0.5429999999999999
2020-11-01,95.87,110.08,0.031,-0.452
2020-12-01,96.87,113.14,0.021,-0.486
2021-01-01,95.49,112.24,0.051,-0.44299999999999995
2021-02-01,93.82,110.07,0.165,-0.19699999999999998
2021-03-01,90.3,105.96,0.095,-0.28300000000000003
2021-04-01,91.5,109.54,0.08900000000000001,-0.196
2021-05-01,91.02,111.12,0.079,-0.156
2021-06-01,90.68,110.51,0.08,-0.128
